"IndicatorCode","Indicator","ValueType","ParentLocationCode","ParentLocation","Location.type","SpatialDimValueCode","Location","Period.type","Period","IsLatestYear","Dim1.type","Dim1","Dim1ValueCode","Dim2.type","Dim2","Dim2ValueCode","Dim3.type","Dim3","Dim3ValueCode","DataSourceDimValueCode","DataSource","FactValueNumericPrefix","FactValueNumeric","FactValueUoM","FactValueNumericLowPrefix","FactValueNumericLow","FactValueNumericHighPrefix","FactValueNumericHigh","Value","FactValueTranslationID","FactComments","Language","DateModified","Region Name","M49 Code","Sub-region Name"
"WHOSIS_000015","Life expectancy at age 60 (years)","text","WPR","Western Pacific","Country","VNM","Viet Nam","Year",2021,"true","Sex","Both sexes","SEX_BTSX",NA,NA,NA,NA,NA,NA,NA,NA,NA,19.62,NA,NA,19.14,NA,20.18,"19.6 [19.1-20.2]",NA,NA,"EN","2024-08-01T22:00:00.000Z","Asia",704,"South-eastern Asia"
"WHOSIS_000015","Life expectancy at age 60 (years)","text","EMR","Eastern Mediterranean","Country","ARE","United Arab Emirates","Year",2021,"true","Sex","Male","SEX_MLE",NA,NA,NA,NA,NA,NA,NA,NA,NA,19.61,NA,NA,19.09,NA,20.32,"19.6 [19.1-20.3]",NA,NA,"EN","2024-08-01T22:00:00.000Z","Asia",784,"Western Asia"
"WHOSIS_000015","Life expectancy at age 60 (years)","text","EMR","Eastern Mediterranean","Country","PSE","occupied Palestinian territory, including east Jerusalem","Year",2021,"true","Sex","Female","SEX_FMLE",NA,NA,NA,NA,NA,NA,NA,NA,NA,19.57,NA,NA,19.26,NA,19.97,"19.6 [19.3-20.0]",NA,NA,"EN","2024-08-01T22:00:00.000Z","Asia",275,"Western Asia"
"WHOSIS_000015","Life expectancy at age 60 (years)","text","AMR","Americas","Country","ARG","Argentina","Year",2021,"true","Sex","Both sexes","SEX_BTSX",NA,NA,NA,NA,NA,NA,NA,NA,NA,19.57,NA,NA,19.52,NA,19.66,"19.6 [19.5-19.7]",NA,NA,"EN","2024-08-01T22:00:00.000Z","Americas",32,"Latin America and the Caribbean"
"WHOSIS_000015","Life expectancy at age 60 (years)","text","EUR","Europe","Country","TKM","Turkmenistan","Year",2021,"true","Sex","Female","SEX_FMLE",NA,NA,NA,NA,NA,NA,NA,NA,NA,19.67,NA,NA,19.06,NA,20.33,"19.7 [19.1-20.3]",NA,NA,"EN","2024-08-01T22:00:00.000Z","Asia",795,"Central Asia"
"WHOSIS_000015","Life expectancy at age 60 (years)","text","SEAR","South-East Asia","Country","BGD","Bangladesh","Year",2021,"true","Sex","Both sexes","SEX_BTSX",NA,NA,NA,NA,NA,NA,NA,NA,NA,19.73,NA,NA,19.2,NA,20.24,"19.7 [19.2-20.2]",NA,NA,"EN","2024-08-01T22:00:00.000Z","Asia",50,"Southern Asia"
"WHOSIS_000015","Life expectancy at age 60 (years)","text","AMR","Americas","Country","NIC","Nicaragua","Year",2021,"true","Sex","Male","SEX_MLE",NA,NA,NA,NA,NA,NA,NA,NA,NA,19.74,NA,NA,19.37,NA,20.11,"19.7 [19.4-20.1]",NA,NA,"EN","2024-08-01T22:00:00.000Z","Americas",558,"Latin America and the Caribbean"
"WHOSIS_000015","Life expectancy at age 60 (years)","text","EMR","Eastern Mediterranean","Country","SAU","Saudi Arabia","Year",2021,"true","Sex","Male","SEX_MLE",NA,NA,NA,NA,NA,NA,NA,NA,NA,19.73,NA,NA,19.37,NA,20.07,"19.7 [19.4-20.1]",NA,NA,"EN","2024-08-01T22:00:00.000Z","Asia",682,"Western Asia"
"WHOSIS_000015","Life expectancy at age 60 (years)","text","SEAR","South-East Asia","Country","LKA","Sri Lanka","Year",2021,"true","Sex","Male","SEX_MLE",NA,NA,NA,NA,NA,NA,NA,NA,NA,19.83,NA,NA,18.77,NA,21.15,"19.8 [18.8-21.2]",NA,NA,"EN","2024-08-01T22:00:00.000Z","Asia",144,"Southern Asia"
"WHOSIS_000015","Life expectancy at age 60 (years)","text","EUR","Europe","Country","BIH","Bosnia and Herzegovina","Year",2021,"true","Sex","Female","SEX_FMLE",NA,NA,NA,NA,NA,NA,NA,NA,NA,19.8,NA,NA,19.35,NA,20.3,"19.8 [19.3-20.3]",NA,NA,"EN","2024-08-01T22:00:00.000Z","Europe",70,"Southern Europe"
