"Location","Value","Region Name"
"Denmark","23.5 [23.4-23.5]","Europe"
"Costa Rica","23.5 [23.4-23.6]","Americas"
"Netherlands (Kingdom of the)","23.5 [23.5-23.5]","Europe"
"Ireland","23.9 [23.9-24.0]","Europe"
"Belgium","24.0 [24.0-24.1]","Europe"
"Portugal","24.0 [24.0-24.1]","Europe"
"Israel","24.1 [24.0-24.2]","Asia"
"Cyprus","24.2 [23.9-24.4]","Asia"
"Finland","24.2 [24.1-24.2]","Europe"
"Malta","24.3 [24.1-24.5]","Europe"
"Italy","24.4 [24.4-24.4]","Europe"
"Puerto Rico","24.6 [24.2-25.2]","Americas"
"Sweden","24.7 [24.4-25.0]","Europe"
"Luxembourg","24.7 [24.6-24.9]","Europe"
"Canada","24.8 [24.8-24.8]","Americas"
"Norway","24.8 [24.8-24.9]","Europe"
"Iceland","24.9","Europe"
"France","24.9 [24.9-24.9]","Europe"
"Spain","24.9 [24.9-25.0]","Europe"
"New Zealand","25.1 [25.0-25.2]","Oceania"
"Switzerland","25.3 [25.3-25.4]","Europe"
"Australia","25.7 [25.6-25.7]","Oceania"
"Singapore","26.0 [26.0-26.1]","Asia"
"Republic of Korea","26.2 [26.1-26.2]","Asia"
"Japan","26.6 [26.6-26.7]","Asia"
